"Link Title","Message","Time Posted (PST)","# Likes","# Shares","Has Question?","Update Type","Link URL","Post URL"
"Most persistent movie clichés","What would you add to the list? http://on.cnn.com/11gQSIF","2013-05-31 21:30:00",299,14,"Yes","link","http://on.cnn.com/11gQSIF","http://www.facebook.com/5550296508/posts/10151681167191509"
"'Mermaids' hoax a TV ratings hit ","Did you fall for it? http://on.cnn.com/11gQKbS","2013-05-31 20:30:00",1292,579,"Yes","video","http://on.cnn.com/11gQKbS","http://www.facebook.com/5550296508/posts/10151681163876509"
"[Photo]","Today's spectacular Travel Photo of the Day comes from The Narrows at Zion National Park.     See more travel photos in the beautiful gallery and submit a photo of your own for it: http://on.cnn.com/11tXAXn","2013-05-31 19:30:01",5168,547,"No","photo","http://www.facebook.com/photo.php?fbid=10151681324486509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151681744301509"
"10 embarrassing fast food fails","Papa John's made headlines this week after a delivery man pocket-dialed a customer during a racist tirade. Here's a look back at a few more not-so-hot fast food moments: http://on.cnn.com/11tYWS2","2013-05-31 19:00:00",476,77,"No","link","http://on.cnn.com/11tYWS2","http://www.facebook.com/5550296508/posts/10151681161291509"
"CNN Hero: Mona Rutger","Meet CNN Hero Mona Rutger who’s rehabilitating injured animals so they can get back into the wild. Do you know a hero like Mona? Tell us about them! Nominate CNN Heroes only at CNNHeroes.com. http://on.cnn.com/11tYvqF","2013-05-31 18:00:00",762,35,"Yes","link","http://on.cnn.com/11tYvqF","http://www.facebook.com/5550296508/posts/10151681155036509"
"[Photo]","It's an unsolved case from 1960, but police say all evidence in the murder of a beautiful schoolteacher pointed to a Catholic priest. Now, decades later, CNN investigates as the victim's family crusades for justice: http://on.cnn.com/11uiNk7    Tune in to CNN at 10 p.m. ET tonight to watch an exclusive one-hour Anderson Cooper 360 special report.","2013-05-31 17:10:01",1725,215,"No","photo","http://www.facebook.com/photo.php?fbid=10151681531591509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151681577086509"
"Holly Hughes: My weight loss success","Attorney Holly Hughes knew her weight, at 300 pounds, called for drastic measures. She decided to have gastric bypass surgery, but cautions it's not a cure-all and that behavioral changes need to follow. Since her surgery, Hughes has lost 160 pounds. See her transformation: http://on.cnn.com/11tVvuB","2013-05-31 15:00:00",268,18,"No","link","http://on.cnn.com/11tVvuB","http://www.facebook.com/5550296508/posts/10151681292396509"
"Staged kidnapping goes deadly","A man used a fake Facebook account to lure a girl out of her home to stage a kidnapping and eventual rescue, but ended up killing her, according to a Maine State Police affidavit. http://on.cnn.com/11tWxqj","2013-05-31 14:30:01",545,393,"No","link","http://on.cnn.com/11tWxqj","http://www.facebook.com/5550296508/posts/10151681121481509"
"Shocking surprise found in Bible","A 75-year-old California woman got the biggest surprise of her life when she brought home a Bible from a used bookstore. See what was tucked away in the pages. http://on.cnn.com/11tV03B","2013-05-31 13:00:01",4708,821,"No","video","http://on.cnn.com/11tV03B","http://www.facebook.com/5550296508/posts/10151681093696509"
"[Photo]","The vast majority of U.S. movie theaters have changed to digital projection instead of film. Do you have a preference? Take a look at how screening movies has changed: http://on.cnn.com/11tT5fs","2013-05-31 12:30:00",381,56,"Yes","photo","http://www.facebook.com/photo.php?fbid=10151681081526509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151681115321509"
"San Antonio Spurs poised to win 5th NBA crown, but... yawn?","NBA fans are filling message boards and Twitter saying that they want better role models, less individualism and players who show respect for the game. But one NBA reporter says that many fans are hypocrites who demand things they don't really want. Do you agree? http://on.cnn.com/11gKe57","2013-05-31 12:00:00",278,38,"Yes","link","http://on.cnn.com/11gKe57","http://www.facebook.com/5550296508/posts/10151681023476509"
"Are drones the highways of the future?","Could drones replace roads and highways? For the past 18 months a tech start-up has been working towards creating a network of unmanned drones to help connect rural areas with little or no access to road systems: http://on.cnn.com/11gIybC","2013-05-31 11:30:32",377,35,"Yes","link","http://on.cnn.com/11gIybC","http://www.facebook.com/5550296508/posts/10151680997651509"
"Fighting germs with sharks","Forget chemicals or pills in the fight against bacterial infections. One entrepreneur is betting that the secret lies with sharks. Do you think this could be the next breakthrough? http://on.cnn.com/11tG9Gu","2013-05-31 11:00:02",220,25,"Yes","link","http://on.cnn.com/11tG9Gu","http://www.facebook.com/5550296508/posts/10151680803276509"
"[Photo]","Zeray Alemseged explains how he discovered ""Selam,"" the fossil known as ""the world's oldest child"": http://on.cnn.com/11gAEz6","2013-05-31 10:30:01",1192,161,"No","photo","http://www.facebook.com/photo.php?fbid=10151680783066509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151680864541509"
"Robots almost ready for battlefield ","What do you think about robots for the battlefield? Take a look at some of the robots developed by the Pentagon: http://on.cnn.com/11tDi07","2013-05-31 10:00:01",948,336,"Yes","video","http://on.cnn.com/11tDi07","http://www.facebook.com/5550296508/posts/10151680751976509"
"Next Obamacare battle could get ugly","Where do you stand on Obamacare? In what may be the epic battle of the summer, the White House and Republicans will square off in efforts to sell or roll back the health care measure. Here's a glimpse into each side's playbook and the tactics they hope will win: http://on.cnn.com/11gtZVH","2013-05-31 09:20:00",409,45,"Yes","link","http://on.cnn.com/11gtZVH","http://www.facebook.com/5550296508/posts/10151680660986509"
"[Photo]","For those of you dreaming of visiting Mars, readings taken during the Curiosity rover's voyage to the Red Planet may make you think twice. See why a trip to Mars would be like getting an abdominal CT scan about once every five days: http://on.cnn.com/11t7OXT","2013-05-31 08:30:00",1098,219,"No","photo","http://www.facebook.com/photo.php?fbid=10151680297126509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151680650896509"
"CNN Exclusive: Pistorius 'a broken man'","In an exclusive interview, Oscar Pistorius' uncle tells CNN the Olympian must live with the fact that he killed the love of his life: http://on.cnn.com/11tuvv2","2013-05-31 08:09:43",250,20,"No","link","http://on.cnn.com/11tuvv2","http://www.facebook.com/5550296508/posts/10151680613431509"
"The electronic wastebasket of the world","Do you know what happens to your old laptop or cellphone when you throw it away? Or where it even goes? According to a recent United Nations report, this country is the largest e-waste dumping site in the world: http://on.cnn.com/11t4TyE","2013-05-31 07:30:01",387,132,"Yes","link","http://on.cnn.com/11t4TyE","http://www.facebook.com/5550296508/posts/10151680262326509"
"Large asteroid zipping past Earth","An asteroid will be flying past Earth today -- and it's traveling with its own moon in tow: http://on.cnn.com/11t3Ezm","2013-05-31 07:00:02",2432,871,"No","link","http://on.cnn.com/11t3Ezm","http://www.facebook.com/5550296508/posts/10151680245336509"
"Is this Amelia Earhart's plane?","A grainy sonar image could unravel a mystery that has baffled historians for years: http://on.cnn.com/11t1ZtM","2013-05-31 06:30:00",675,144,"No","link","http://on.cnn.com/11t1ZtM","http://www.facebook.com/5550296508/posts/10151680271021509"
"[Photo]","Arvind Mahankali, a 13-year-old eighth-grader from Bayside Hills, New York, has won the Scripps National Spelling Bee. See his winning word and what he hopes to become: http://on.cnn.com/11t2uUE","2013-05-31 06:00:42",2717,195,"No","photo","http://www.facebook.com/photo.php?fbid=10151680236721509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151680400311509"
"Boston suspects: new clues on video","Days before the bombings, suspects Dzhokhar and Tamerlan Tsarnaev worked out tirelessly in a Boston gym: http://on.cnn.com/11t1IH8","2013-05-31 05:30:00",246,28,"No","link","http://on.cnn.com/11t1IH8","http://www.facebook.com/5550296508/posts/10151680219131509"
"U.S. mom freed from Mexican jail","Yanira Maldonado, the Arizona mother of seven accused of drug-smuggling, is headed home: http://on.cnn.com/11t1yzu","2013-05-31 05:00:01",1623,62,"No","link","http://on.cnn.com/11t1yzu","http://www.facebook.com/5550296508/posts/10151680215161509"
"Grumpy Cat's going Hollywood","According to reports, the feline famous for her sourpuss could soon have a movie built around her. See the premise of the film and tell us if you’ll see it. http://on.cnn.com/178jRm1","2013-05-30 22:00:00",1600,404,"No","link","http://on.cnn.com/178jRm1","http://www.facebook.com/5550296508/posts/10151679003556509"
"OPINION: When mom earns more, it's tough on dad","A study finds that, more and more, married mothers are out-earning their husbands. Peggy Drexler says men say they love it, but are struggling with the new reality. Do you find yourself in a similar situation? http://on.cnn.com/115oepz","2013-05-30 21:00:00",482,38,"Yes","link","http://on.cnn.com/115oepz","http://www.facebook.com/5550296508/posts/10151678972521509"
"Cocaine speedboats halted","Authorities intercepted two speedboats -- sinking one -- and recovered about 13,000 pounds of cocaine worth almost $1 billion: http://on.cnn.com/115sRjw","2013-05-30 19:50:01",2290,438,"No","link","http://on.cnn.com/115sRjw","http://www.facebook.com/5550296508/posts/10151679134791509"
"[Photo]","Gleaming high-tech cities are being planned across Africa. Some say they are the continent’s future, while others describe them as “urban fantasies.” See the ambitious new developments and let us know what you think. http://on.cnn.com/115pQjf","2013-05-30 19:00:01",2280,512,"No","photo","http://www.facebook.com/photo.php?fbid=10151678985511509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151679575556509"
" Opinion: Empowered women make nations strong ","“One key to empowerment — and an issue that's a personal priority for me — is letting women decide when to have children,” writes Melinda Gates for CNN Opinion. If these girls don’t get pregnant and are able to stay in school, everything changes - see how: http://on.cnn.com/115q4Xr  CNN is taking a look at the power of education and the extraordinary girls overcoming barriers to achieve it. For more, visit CNN.com/GirlRising.","2013-05-30 18:00:01",914,78,"No","link","http://on.cnn.com/115q4Xr","http://www.facebook.com/5550296508/posts/10151678993326509"
"The 40th Annual Daytime Emmy® Awards VIP Sweepstakes ","Are you looking forward to the Emmys? The 40th Annual Daytime Emmy Awards will air live on HLN June 16, and now you can enter for a chance to win a trip to LA to attend in person: http://bit.ly/17fX2wB","2013-05-30 17:30:00",170,3,"Yes","link","http://bit.ly/17fX2wB","http://www.facebook.com/5550296508/posts/10151678980881509"
"New museum gives close-up view of Henry VIII's Mary Rose warship","A Tudor warship sunk off the English coast more than 400 years ago will go on display in a new museum Friday, along with thousands of artifacts recovered with the wreck: http://on.cnn.com/115nwbZ","2013-05-30 17:00:00",348,23,"No","link","http://on.cnn.com/115nwbZ","http://www.facebook.com/5550296508/posts/10151679188256509"
"Dying girl's plight sparks fight over organ transplants","The plight of a 10-year-old girl who could die within weeks without a lung transplant has sparked a fight for new rules governing organ donations: http://on.cnn.com/115nl0b","2013-05-30 16:00:00",679,126,"No","link","http://on.cnn.com/115nl0b","http://www.facebook.com/5550296508/posts/10151678936996509"
